nikaya,count,sum_words,mean_words,total_pages,average_pages,total_read_time_hrs,average_read_time_mins
Majjhima Nikaya,101,319603.0,3164.3861386138615,1278.412,12.657544554455447,20.100817610062894,11.941079768354195
Samyutta Nikaya,379,265004.0,699.2189973614776,1060.016,2.7968759894459105,16.66691823899371,2.6385622541942553
Digha Nikaya,14,141063.0,10075.92857142857,564.252,40.303714285714285,8.87188679245283,38.02237196765498
Anguttara Nikaya,385,296039.0,768.9324675324675,1184.156,3.07572987012987,18.61880503144654,2.9016319529527075
Khuddaka Nikaya,427,415757.0,973.6697892271662,1663.028,3.8946791569086647,26.14823899371069,3.6742256197251555
Full Canon,1306,1437466.0,3136.4271928327084,5749.864,12.545708771330835,90.40666666666667,11.83557431257626
